name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Desert Mountain,1,WOD_Mountain_Small_02,-120,445,477,123,37,44512347737,Bergama,445.9609375,-477.7109375,8,1,0.628489
Desert Mountain,1,WOD_Mountain_Small_02,121,445,477,23,90,4452347790,Bergama,445.1796875,-477.296875,8,1,0.6494973
Desert Mountain,1,WOD_Mountain_Small_06,74,405,458,101,56,40510145856,Bergama,405.7890625,-458.5625,8,1,0.8944697
Desert Mountain,1,WOD_Mountain_Small_06,31,400,461,114,73,40011446173,Bergama,400.890625,-461.4296875,8,1,0.8993025
Desert Mountain,1,WOD_Mountain_Small_07,-20,448,477,19,8,4481947708,Bergama,448.1484375,-477.9375,8,1,0.8743194
Desert Mountain,1,WOD_Mountain_Small_02,-16,428,457,64,44,4286445744,Bergama,428.5,-457.65625,8,1,0.7430654
Desert Mountain,1,WOD_Mountain_Small_05,47,438,474,31,36,4383147436,Bergama,438.2421875,-474.71875,8,1,0.6242508
Desert Mountain,1,WOD_Mountain_Small_02,85,427,476,78,84,4277847684,Bergama,427.609375,-476.34375,8,1,0.783253
Desert Mountain,1,WOD_Mountain_Small_01,-115,402,454,111,90,40211145490,Bergama,402.8671875,-454.296875,8,1,0.6611931
Desert Mountain,1,WOD_Mountain_Small_03,-129,400,467,15,19,4001546719,Bergama,400.1171875,-467.8515625,8,1,0.91584
Desert Mountain,1,WOD_Mountain_Small_02,-84,430,477,90,122,43090477122,Bergama,430.703125,-477.046875,8,1,0.7532457
Desert Mountain,1,WOD_Mountain_Small_03,9,428,475,76,104,42876475104,Bergama,428.59375,-475.1875,8,1,0.8120814
Desert Mountain,1,WOD_Mountain_Small_04,164,428,475,1,95,4280147595,Bergama,428.0078125,-475.2578125,8,1,0.8505363
Desert Mountain,1,WOD_Mountain_Small_05,3,447,475,40,64,4474047564,Bergama,447.3125,-475.5,8,1,0.673092
Desert Mountain,1,WOD_Mountain_Small_04,-170,447,474,24,110,44724474110,Bergama,447.1875,-474.140625,8,1,0.8080691
Desert Mountain,1,WOD_Mountain_Small_01,-44,442,468,90,114,44290468114,Bergama,442.703125,-468.109375,8,1,0.632716
Desert Mountain,1,WOD_Mountain_Small_04,-70,438,474,38,23,4383847423,Bergama,438.296875,-474.8203125,8,1,0.7761505
Desert Mountain,1,WOD_Mountain_Small_02,-144,427,460,125,47,42712546047,Bergama,427.9765625,-460.6328125,8,1,0.6488405
Desert Mountain,1,WOD_Mountain_Small_05,89,446,474,93,91,4469347491,Bergama,446.7265625,-474.2890625,8,1,0.7714044
Desert Mountain,1,WOD_Mountain_Small_01,-20,445,478,102,44,44510247844,Bergama,445.796875,-478.65625,8,1,0.6602206
Desert Mountain,1,WOD_Mountain_Small_05,-6,438,476,101,60,43810147660,Bergama,438.7890625,-476.53125,8,1,0.8745254
Desert Mountain,1,WOD_Mountain_Small_04,-143,441,476,120,128,441120476128,Bergama,441.9375,-476.0,8,1,0.7474858
Desert Mountain,1,WOD_Mountain_Small_07,-13,404,459,116,124,404116459124,Bergama,404.90625,-459.03125,8,1,0.9545975
Desert Mountain,1,WOD_Mountain_Small_07,-173,447,477,78,87,4477847787,Bergama,447.609375,-477.3203125,8,1,0.9192366
Desert Mountain,1,WOD_Mountain_Small_06,103,404,459,68,120,40468459120,Bergama,404.53125,-459.0625,8,1,0.624337
Desert Mountain,1,WOD_Mountain_Small_06,65,402,461,17,17,4021746117,Bergama,402.1328125,-461.8671875,8,1,0.7959878
Desert Mountain,1,WOD_Mountain_Small_02,100,400,457,65,114,40065457114,Bergama,400.5078125,-457.109375,8,1,0.8947382
Desert Mountain,1,WOD_Mountain_Small_01,-158,437,470,120,65,43712047065,Bergama,437.9375,-470.4921875,8,1,0.7394956
Desert Mountain,1,WOD_Mountain_Small_05,-41,445,477,109,10,44510947710,Bergama,445.8515625,-477.921875,8,1,0.8482029
Desert Mountain,1,WOD_Mountain_Small_03,162,421,462,118,31,42111846231,Bergama,421.921875,-462.7578125,8,1,0.7296112
Desert Mountain,1,WOD_Mountain_Small_07,63,419,473,49,65,4194947365,Bergama,419.3828125,-473.4921875,8,1,0.7050551
Desert Mountain,1,WOD_Mountain_Small_04,80,401,460,100,124,401100460124,Bergama,401.78125,-460.03125,8,1,0.8098913
Desert Mountain,1,WOD_Mountain_Small_06,45,418,472,73,1,4187347201,Bergama,418.5703125,-472.9921875,8,1,0.6193389
Desert Mountain,1,WOD_Mountain_Small_01,61,446,477,45,19,4464547719,Bergama,446.3515625,-477.8515625,8,1,0.6915662
Desert Mountain,1,WOD_Mountain_Small_03,-120,401,453,124,50,40112445350,Bergama,401.96875,-453.609375,8,1,0.6764318
Desert Mountain,1,WOD_Mountain_Small_07,-60,420,481,64,15,4206448115,Bergama,420.5,-481.8828125,8,1,0.6631436
Desert Mountain,1,WOD_Mountain_Small_02,128,401,456,119,18,40111945618,Bergama,401.9296875,-456.859375,8,1,0.7443259
Desert Mountain,1,WOD_Mountain_Small_05,62,423,462,47,24,4234746224,Bergama,423.3671875,-462.8125,8,1,0.9232622
Desert Mountain,1,WOD_Mountain_Small_06,-117,405,459,77,88,4057745988,Bergama,405.6015625,-459.3125,8,1,0.6593372
Desert Mountain,1,WOD_Mountain_Small_01,180,421,471,23,54,4212347154,Bergama,421.1796875,-471.578125,8,1,0.8798828
Desert Mountain,1,WOD_Mountain_Small_02,139,423,462,10,24,4231046224,Bergama,423.078125,-462.8125,8,1,0.6281131
Desert Mountain,1,WOD_Mountain_Small_02,-115,401,468,72,3,4017246803,Bergama,401.5625,-468.9765625,8,1,0.8039188
Desert Mountain,1,WOD_Mountain_Small_07,-153,400,460,70,119,40070460119,Bergama,400.546875,-460.0703125,8,1,0.9279108
Desert Mountain,1,WOD_Mountain_Small_05,106,401,454,17,125,40117454125,Bergama,401.1328125,-454.0234375,8,1,0.8237638
Desert Mountain,1,WOD_Mountain_Small_03,11,418,472,32,33,4183247233,Bergama,418.25,-472.7421875,8,1,0.8450755
Desert Mountain,1,WOD_Mountain_Small_02,148,441,483,120,101,441120483101,Bergama,441.9375,-483.2109375,8,1,0.7727085
Desert Mountain,1,WOD_Mountain_Small_06,99,400,460,5,118,40005460118,Bergama,400.0390625,-460.078125,8,1,0.9982617
Desert Mountain,1,WOD_Mountain_Small_02,153,401,459,87,14,4018745914,Bergama,401.6796875,-459.890625,8,1,0.7852774
Desert Mountain,1,WOD_Mountain_Small_04,-82,402,457,86,82,4028645782,Bergama,402.671875,-457.359375,8,1,0.8298363
Desert Mountain,1,WOD_Mountain_Small_05,47,405,459,119,88,40511945988,Bergama,405.9296875,-459.3125,8,1,0.8139142
Desert Mountain,1,WOD_Mountain_Small_01,117,442,483,67,114,44267483114,Bergama,442.5234375,-483.109375,8,1,0.6271967
Desert Mountain,1,WOD_Mountain_Small_06,86,446,478,83,38,4468347838,Bergama,446.6484375,-478.703125,8,1,0.6844127
Desert Mountain,1,WOD_Mountain_Small_02,-128,410,475,8,78,4100847578,Bergama,410.0625,-475.390625,8,1,0.6252103
Desert Mountain,1,WOD_Mountain_Small_07,-160,402,454,49,125,40249454125,Bergama,402.3828125,-454.0234375,8,1,0.7906671
Desert Mountain,1,WOD_Mountain_Small_01,109,405,459,100,119,405100459119,Bergama,405.78125,-459.0703125,8,1,0.7470733
Desert Mountain,1,WOD_Mountain_Small_01,-149,418,472,10,35,4181047235,Bergama,418.078125,-472.7265625,8,1,0.6217023
Desert Mountain,1,WOD_Mountain_Small_02,11,422,462,91,15,4229146215,Bergama,422.7109375,-462.8828125,8,1,0.9477476
Desert Mountain,1,WOD_Mountain_Small_07,84,401,454,95,93,4019545493,Bergama,401.7421875,-454.2734375,8,1,0.6557729
Desert Mountain,1,WOD_Mountain_Small_04,2,400,460,115,74,40011546074,Bergama,400.8984375,-460.421875,8,1,0.6983092
Desert Mountain,1,WOD_Mountain_Small_03,-112,401,460,42,58,4014246058,Bergama,401.328125,-460.546875,8,1,0.8660495
Desert Mountain,1,WOD_Mountain_Small_07,96,402,456,108,19,40210845619,Bergama,402.84375,-456.8515625,8,1,0.9312223
